title,artist,genre,energy,mood,tags,scene,description
Thunderstruck,AC/DC,rock,9,hype,classic|guitar|stadium|workout,workout,Explosive guitar anthem that works for high-adrenaline moments.
Lo-fi Rain,DJ Calm,lofi,2,chill,study|beats|rain|focus,study,Soft lofi beat with rain textures for deep focus.
Night Drive,Neon Echo,electronic,6,mixed,synth|night|retro|cruise,drive,Mid-tempo synth track built for neon-lit highway drives.
Soft Piano,Sleep Sound,ambient,1,chill,sleep|piano|gentle|calm,sleep,Minimal piano piece that settles the room down quickly.
Bohemian Rhapsody,Queen,rock,8,hype,classic|opera|dramatic|singalong,party,Big theatrical rock track for bold communal energy.
Blinding Lights,The Weeknd,pop,8,hype,synth|dance|night|pop,party,Bright synth-pop hit with fast pulse and late-night shine.
Take Five,Dave Brubeck,jazz,4,mixed,classic|instrumental|cool|focus,study,Steady jazz groove that supports focus without disappearing.
Strobe,Deadmau5,electronic,7,mixed,progressive|long|build|synth,drive,Gradual electronic build with a cinematic late-night feel.
Weightless,Marconi Union,ambient,1,chill,relax|sleep|calm|drone,relax,Slow floating ambient piece for decompression and rest.
Smells Like Teen Spirit,Nirvana,rock,9,hype,grunge|90s|loud|guitar,workout,Raw distorted rock energy with a rebellious edge.
Levitating,Dua Lipa,pop,8,hype,dance|party|bright|disco,party,Glossy pop groove designed for movement and instant lift.
So What,Miles Davis,jazz,3,chill,trumpet|cool|late-night|classic,relax,Cool jazz classic with spacious phrasing and low-pressure energy.
Midnight City,M83,electronic,7,mixed,indie|dream|synth|night,drive,Atmospheric synth anthem with a nostalgic night-drive pulse.
Gymnopedie No. 1,Erik Satie,ambient,1,chill,piano|calm|classical|minimal,study,Sparse piano classic that keeps a room quiet and focused.
Sweet Child O' Mine,Guns N' Roses,rock,8,hype,guitar|80s|anthem|classic,party,Huge guitar hooks and singalong energy for confident moods.
Bad Guy,Billie Eilish,pop,6,mixed,bass|dark|minimal|moody,late-night,Playful dark pop with clipped rhythm and moody swagger.
Fly Me to the Moon,Frank Sinatra,jazz,5,mixed,vocal|swing|classic|warm,dinner,Warm vocal jazz standard with polished lounge energy.
Sandstorm,Darude,electronic,10,hype,trance|festival|meme|dance,workout,Peak-intensity trance track for running lifting or chaos.
Clair de Lune,Claude Debussy,ambient,2,chill,piano|classical|soft|night,study,Gentle piano work that suits quiet reflection and reading.
Hotel California,Eagles,rock,6,mixed,classic|guitar|storytelling|roadtrip,drive,Classic rock storytelling track with an open-road feel.
Uptown Funk,Mark Ronson ft. Bruno Mars,pop,9,hype,funk|dance|party|brass,party,Punchy retro-funk anthem with nonstop dance-floor energy.
Feeling Good,Nina Simone,jazz,6,mixed,soul|vocal|dramatic|uplift,morning,Soulful vocal performance that feels poised and powerful.
Holocene,Bon Iver,ambient,3,chill,indie|soft|acoustic|reflective,relax,Gentle indie-folk texture for quiet reflective moments.
On Hold,The xx,electronic,5,mixed,indie|minimal|night|cool,late-night,Minimal electronic groove with restrained late-night motion.
Titanium,David Guetta ft. Sia,pop,9,hype,dance|anthem|workout|power,workout,High-energy dance-pop track that feels resilient and huge.
